,CONS.EA.TOT.2.PP.M,CONS.EA.TOT.2.P.M,CONS.EA.TOT.2.E.M,CONS.EA.TOT.2.M.M,CONS.EA.TOT.2.MM.M,CONS.EA.TOT.2.N.M,CONS.EA.TOT.4.PP.M,CONS.EA.TOT.4.P.M,CONS.EA.TOT.4.E.M,CONS.EA.TOT.4.M.M,CONS.EA.TOT.4.MM.M,CONS.EA.TOT.4.N.M,CONS.EA.TOT.7.PP.M,CONS.EA.TOT.7.P.M,CONS.EA.TOT.7.E.M,CONS.EA.TOT.7.M.M,CONS.EA.TOT.7.MM.M,CONS.EA.TOT.7.N.M,INDU.EA.TOT.1.P.M,INDU.EA.TOT.1.E.M,INDU.EA.TOT.1.M.M,INDU.EA.TOT.2.P.M,INDU.EA.TOT.2.E.M,INDU.EA.TOT.2.M.M,INDU.EA.TOT.3.P.M,INDU.EA.TOT.3.E.M,INDU.EA.TOT.3.M.M,INDU.EA.TOT.4.P.M,INDU.EA.TOT.4.E.M,INDU.EA.TOT.4.M.M,INDU.EA.TOT.5.P.M,INDU.EA.TOT.5.E.M,INDU.EA.TOT.5.M.M,INDU.EA.TOT.6.P.M,INDU.EA.TOT.6.E.M,INDU.EA.TOT.6.M.M,INDU.EA.TOT.7.P.M,INDU.EA.TOT.7.E.M,INDU.EA.TOT.7.M.M
Jan-85,1.4,11.9,61.8,16.2,3.4,5.3,1.6,21.2,37.4,23.5,9.6,6.8,19.3,37.3,24.9,12.1,0.8,5.6,,,,,,,,,,,,,,,,,,,,,
Feb-85,1.2,12.1,62.6,15.8,3.5,4.8,1.6,18.2,37.8,26.5,9.7,6.2,20.6,38.0,23.2,12.0,0.9,5.3,,,,,,,,,,,,,,,,,,,,,
Mar-85,1.3,11.7,61.4,16.9,3.7,5.0,1.2,16.2,38.2,27.7,10.2,6.6,20.6,36.6,24.9,11.7,0.9,5.4,,,,,,,,,,,,,,,,,,,,,
Apr-85,1.2,12.5,63.3,14.5,3.3,5.2,1.4,16.8,39.6,26.7,8.4,7.1,17.4,36.4,26.5,12.5,1.3,5.9,,,,,,,,,,,,,,,,,,,,,
May-85,1.3,12.6,62.4,15.3,2.9,5.6,1.3,16.8,38.8,26.6,8.6,7.9,17.3,36.7,26.6,12.1,1.3,6.0,,,,,,,,,,,,,,,,,,,,,
Jun-85,1.1,12.0,63.8,14.9,3.0,5.3,1.5,15.6,39.7,26.6,8.8,7.7,17.3,37.2,27.8,11.0,0.8,5.9,,,,,,,,,,,,,,,,,,,,,
Jul-85,1.0,11.4,60.8,17.0,3.3,6.5,1.3,16.3,39.4,24.7,8.7,9.6,17.3,37.9,27.2,10.2,0.9,6.6,,,,,,,,,,,,,,,,,,,,,
Aug-85,1.0,11.6,61.7,16.7,3.3,5.7,1.2,16.3,40.5,24.7,8.6,8.6,17.7,37.9,26.8,10.1,0.8,6.7,,,,,,,,,,,,,,,,,,,,,
Sep-85,1.0,11.1,62.5,16.5,3.4,5.6,1.5,17.7,40.5,24.5,8.5,7.3,17.9,36.2,27.2,10.9,1.0,6.8,,,,,,,,,,,,,,,,,,,,,
Oct-85,1.5,12.7,63.0,14.7,2.6,5.5,1.3,16.5,43.0,23.6,7.9,7.7,16.9,36.6,27.6,11.5,1.0,6.4,,,,,,,,,,,,,,,,,,,,,
